Date,SPY,IXUS,AGG,GLD,VNQ,BTC-USD
10/1/2023,0.09135063533,0.08396243786,0.04566744731,0.02531370525,0.1208562509,0.1207135518
11/1/2023,0.0414475163,0.03465262443,0.03415453527,0.01282119205,0.08103448276,0.007510199292
12/1/2023,0.0200284888,-0.0008208832704,0.004223064429,-0.01422817388,-0.03876824929,0.4371683652
1/1/2024,0.05219838348,0.02957607624,-0.01757601898,0.004563544707,0.01978302489,0.1656133708
2/1/2024,0.0294998894,0.03271624641,0.009000109757,0.086683218,0.01076345432,-0.1499543343
3/1/2024,-0.03734666771,-0.02410755679,-0.02480147939,0.02989500292,-0.0715700842,0.1130426279
4/1/2024,0.05058436815,0.04069675376,0.01650864473,0.01618917261,0.04561216324,-0.07131455692
5/1/2024,0.03196399946,-0.01978088862,0.008888401185,-0.001346957733,0.00625,0.03096702223
6/1/2024,0.01536532415,0.03942874884,0.02414618229,0.05367192224,0.09278742553,-0.08742518677
7/1/2024,0.02337197943,0.0240442055,0.01465590484,0.02092253366,0.05231411669,0.07392924187
8/1/2024,0.01786711334,0.02508385591,0.01329286163,0.05088849496,0.02402998236,0.108728002
9/1/2024,-0.005874754481,-0.04495660834,-0.02510071274,0.04299349955,-0.02540365985,0.3736208647
10/1/2024,0.05962870009,-0.003128258603,0.01101928375,-0.03124137115,0.04252264193,-0.03131031358
11/1/2024,-0.0273302985,-0.04348475792,-0.02012156781,-0.01408852152,-0.09248861108,0.09607082154
12/1/2024,0.03030878696,0.05217934698,0.01155080214,0.06785611035,0.02638337614,-0.1760852154
1/1/2025,-0.01268878124,0.01870824053,0.01903150772,0.01821627475,0.03696542311,-0.02161947286
2/1/2025,-0.05855488778,0.001894767527,0,0.09446575759,-0.03575737633,0.1412302113
3/1/2025,-0.005680486177,0.03054989817,0.004046482673,0.0542444645,-0.01444659311,0.1107215565
4/1/2025,0.0628423229,0.04827780915,-0.005993593056,-0.0005596339336,0.01119575254,0.02386559235
5/1/2025,0.04829104312,0.0251817937,0.0145545275,0.004051383399,-0.00285355553,0.08048567354
6/1/2025,0.02604463399,0.00696177591,-0.002561737883,-0.006134566808,0.01076007326,-0.06497587212
7/1/2025,0.02052892929,0.04135142186,0.01171152661,0.0498745709,0.03476783692,0.05376530754
8/1/2025,0.03275451988,0.03444820243,0.01137286759,0.1175841796,-0.008865054175,-0.02649722606
9/1/2025,0.01943282054,0.02094938242,0.01214859438,0.0620305511,0.02064929329,0.003480377888